Scenario,Date,PREC,TEMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
0,2023-08-10 05:00:00,0.000000,13.400000,67.000000,9.000000,128.000000,88.740000,137.670000,875.040000,5.620000,197.610000,26.410000
0,2023-08-10 06:00:00,0.000000,13.400000,67.000000,9.000000,128.000000,88.280000,137.750000,875.260000,5.270000,197.710000,25.240000
0,2023-08-10 07:00:00,0.000000,13.400000,67.000000,9.000000,128.000000,87.880000,137.820000,875.480000,4.980000,197.800000,24.260000
0,2023-08-10 08:00:00,0.000000,16.900000,58.000000,11.000000,137.000000,87.770000,137.940000,875.840000,5.420000,197.950000,25.740000
0,2023-08-10 09:00:00,0.000000,16.900000,58.000000,11.000000,137.000000,87.670000,138.070000,876.200000,5.340000,198.100000,25.490000
0,2023-08-10 10:00:00,0.000000,16.900000,58.000000,11.000000,137.000000,87.590000,138.190000,876.550000,5.280000,198.250000,25.280000
0,2023-08-10 11:00:00,0.000000,21.100000,49.000000,10.000000,169.000000,87.610000,138.380000,877.110000,5.030000,198.480000,24.450000
0,2023-08-10 12:00:00,0.000000,21.100000,49.000000,10.000000,169.000000,87.620000,138.580000,877.680000,5.040000,198.710000,24.490000
0,2023-08-10 13:00:00,0.000000,21.100000,49.000000,10.000000,169.000000,87.630000,138.770000,878.240000,5.050000,198.950000,24.520000
0,2023-08-10 14:00:00,0.110000,21.800000,55.000000,16.000000,198.000000,87.630000,138.950000,878.760000,6.830000,199.170000,30.190000
0,2023-08-10 15:00:00,0.000000,21.800000,55.000000,16.000000,198.000000,87.630000,139.130000,879.280000,6.830000,199.380000,30.190000
0,2023-08-10 16:00:00,0.000000,21.800000,55.000000,16.000000,198.000000,87.630000,139.300000,879.790000,6.830000,199.600000,30.190000
0,2023-08-10 17:00:00,0.130000,21.600000,60.000000,15.000000,202.000000,87.600000,139.460000,880.250000,6.470000,199.790000,29.100000
0,2023-08-10 18:00:00,0.000000,21.600000,60.000000,15.000000,202.000000,87.580000,139.620000,880.700000,6.440000,199.980000,29.040000
0,2023-08-10 19:00:00,0.000000,21.600000,60.000000,15.000000,202.000000,87.560000,139.770000,881.160000,6.420000,200.170000,28.980000
0,2023-08-10 20:00:00,0.000000,21.600000,60.000000,15.000000,202.000000,87.540000,139.930000,881.610000,6.410000,200.360000,28.930000
0,2023-08-10 21:00:00,0.000000,21.600000,60.000000,15.000000,202.000000,87.520000,139.930000,881.610000,6.400000,200.360000,28.890000
0,2023-08-10 22:00:00,0.000000,21.600000,60.000000,15.000000,202.000000,87.510000,139.930000,881.610000,6.380000,200.360000,28.860000
0,2023-08-10 23:00:00,0.000000,18.400000,76.000000,12.000000,190.000000,86.960000,139.930000,881.610000,5.070000,200.360000,24.640000
0,2023-08-11 00:00:00,0.000000,18.400000,76.000000,12.000000,190.000000,86.500000,139.930000,881.610000,4.750000,200.360000,23.530000
0,2023-08-11 01:00:00,0.000000,18.400000,76.000000,12.000000,190.000000,86.110000,139.930000,881.610000,4.500000,200.360000,22.630000
0,2023-08-11 02:00:00,0.000000,18.400000,76.000000,12.000000,190.000000,85.780000,139.930000,881.610000,4.290000,200.360000,21.890000
0,2023-08-11 03:00:00,0.000000,18.400000,76.000000,12.000000,190.000000,85.500000,139.930000,881.610000,4.130000,200.360000,21.290000
0,2023-08-11 04:00:00,0.000000,18.400000,76.000000,12.000000,190.000000,85.260000,139.930000,881.610000,4.000000,200.360000,20.800000
